"filename", "language", "YAML", "Markdown", "C++", "Dart", "CMake", "Swift", "JSON", "XML", "Kotlin", "Java Properties", "HTML", "comment", "blank", "total"
"d:\Dev\hilmi\hilmi\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Dev\hilmi\hilmi\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Dev\hilmi\hilmi\android\app\build.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 7, 13, 74
"d:\Dev\hilmi\hilmi\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 54
"d:\Dev\hilmi\hilmi\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Dev\hilmi\hilmi\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"d:\Dev\hilmi\hilmi\android\app\src\main\cpp\CMakeLists.txt", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Dev\hilmi\hilmi\android\app\src\main\cpp\native-lib.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Dev\hilmi\hilmi\android\app\src\main\kotlin\com\example\hear_me\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"d:\Dev\hilmi\hilmi\android\app\src\main\kotlin\com\example\hilmi\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 29, 24, 158
"d:\Dev\hilmi\hilmi\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Dev\hilmi\hilmi\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Dev\hilmi\hilmi\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Dev\hilmi\hilmi\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Dev\hilmi\hilmi\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Dev\hilmi\hilmi\android\build.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Dev\hilmi\hilmi\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Dev\hilmi\hilmi\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Dev\hilmi\hilmi\android\settings.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"d:\Dev\hilmi\hilmi\assets\google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Dev\hilmi\hilmi\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Dev\hilmi\hilmi\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Dev\hilmi\hilmi\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Dev\hilmi\hilmi\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Dev\hilmi\hilmi\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Dev\hilmi\hilmi\lib\constant.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Dev\hilmi\hilmi\lib\current_session_model.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Dev\hilmi\hilmi\lib\firebase_options.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 12, 7, 89
"d:\Dev\hilmi\hilmi\lib\gemini_test.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87
"d:\Dev\hilmi\hilmi\lib\hand_landmarker_service.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"d:\Dev\hilmi\hilmi\lib\login.dart", "Dart", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 1, 20, 172
"d:\Dev\hilmi\hilmi\lib\main.dart", "Dart", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 0, 0, 25, 408
"d:\Dev\hilmi\hilmi\lib\new_onboarding_page.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Dev\hilmi\hilmi\lib\onboarding_page.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 7, 150
"d:\Dev\hilmi\hilmi\lib\onboarding_provider.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Dev\hilmi\hilmi\lib\realtime_bisindo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\hilmi\hilmi\lib\transcription_page.dart", "Dart", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 4, 11, 132
"d:\Dev\hilmi\hilmi\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\Dev\hilmi\hilmi\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\Dev\hilmi\hilmi\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Dev\hilmi\hilmi\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Dev\hilmi\hilmi\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\Dev\hilmi\hilmi\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Dev\hilmi\hilmi\linux\runner\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Dev\hilmi\hilmi\linux\runner\my_application.cc", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\Dev\hilmi\hilmi\linux\runner\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Dev\hilmi\hilmi\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
"d:\Dev\hilmi\hilmi\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Dev\hilmi\hilmi\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Dev\hilmi\hilmi\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"d:\Dev\hilmi\hilmi\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Dev\hilmi\hilmi\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Dev\hilmi\hilmi\pubspec.yaml", "YAML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 16, 121
"d:\Dev\hilmi\hilmi\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Dev\hilmi\hilmi\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"d:\Dev\hilmi\hilmi\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"d:\Dev\hilmi\hilmi\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\Dev\hilmi\hilmi\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\Dev\hilmi\hilmi\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"d:\Dev\hilmi\hilmi\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Dev\hilmi\hilmi\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Dev\hilmi\hilmi\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\Dev\hilmi\hilmi\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Dev\hilmi\hilmi\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Dev\hilmi\hilmi\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Dev\hilmi\hilmi\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Dev\hilmi\hilmi\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Dev\hilmi\hilmi\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Dev\hilmi\hilmi\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Dev\hilmi\hilmi\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 51, 13, 571, 1065, 488, 67, 303, 506, 201, 8, 19, 349, 522, 4163